Date Time,Intersection Street One,Intersection Street Two,Address Street Number,Address Street Name,Number of Motorists,Number of Cyclists,Number of Pedestrians,Number of Injured Individuals,Hospitalizations (estimated),Neighborhood (estimated)
01/18/2016 11:19:00 AM,,,89,WALDEN STREET,1,0,0,0,0,Neighborhood Nine
01/18/2016 12:19:00 PM,WEBSTER AVE,COLUMBIA STREET,,,0,0,0,0,0,
01/18/2016 03:43:00 PM,,,610,MAIN ST.,1,0,0,0,0,The Port
01/18/2016 06:59:00 PM,,,,VASSAL LN,1,0,0,0,0,
01/19/2016 01:11:00 AM,,,330,MOUNT AUBURN STREET,1,0,0,0,0,West Cambridge
01/19/2016 03:58:00 AM,,,198,RINDGE AVE,1,0,0,0,0,North Cambridge
01/19/2016 09:54:00 AM,,,330,MT. AUBURN STREET,1,0,1,0,0,West Cambridge
01/19/2016 01:24:00 PM,,,19,HURON AVE,1,0,0,0,0,Neighborhood Nine
01/19/2016 01:35:00 PM,,,179,WESTERN AVE,1,0,0,0,0,Riverside
01/19/2016 08:50:00 PM,,,1716,CAMBRIDGE STREET,2,0,0,0,0,Mid-Cambridge
01/19/2016 08:57:00 PM,,,,PROSPECT STREET,2,0,0,0,0,
01/20/2016 11:56:00 AM,BROADWAY,INMAN STREET,344,BROADWAY,2,0,0,0,0,Mid-Cambridge
01/20/2016 02:17:00 PM,,,35,WHITE ST.,1,0,0,0,0,North Cambridge
01/20/2016 06:49:00 PM,,,,PROSPECT STREET,2,0,0,0,0,
01/20/2016 07:44:00 PM,,,105,SECOND STREET,0,0,0,0,0,East Cambridge
01/21/2016 10:23:00 AM,RIVER STREET,FRANKLIN STREET,,,2,0,0,0,0,
01/21/2016 11:18:00 PM,,,12,MUSEUM WAY,1,0,0,0,1,East Cambridge
01/22/2016 02:28:00 AM,FRANKLIN ST,MAGAZINE ST,,,1,0,0,0,0,
01/22/2016 07:18:00 AM,MASS AVE,RINDGE AVE,,,2,0,0,0,0,
01/22/2016 04:42:00 PM,THIRD ST,GORE ST,,,2,0,0,0,0,
01/22/2016 06:15:00 PM,,,2,HASTINGS AVE,2,0,0,0,0,West Cambridge
01/23/2016 03:17:00 AM,,,77,MASSACHUSETTS AVE,2,0,0,0,0,Area 2/MIT
01/23/2016 11:36:00 AM,,,176,ELM ST.,1,0,0,0,0,Wellington-Harrington
01/23/2016 02:51:00 PM,,,,BISHOP ALLEN DR.,0,0,0,0,0,
01/23/2016 03:20:00 PM,,,35,WHITE STREET,2,0,0,0,0,North Cambridge
01/24/2016 12:25:00 PM,,,279,PEARL STREET,0,0,0,0,0,Cambridgeport
01/25/2016 02:53:00 PM,,,26,NEW ST,0,0,0,0,0,Neighborhood Nine
01/25/2016 10:15:00 PM,,,1,JFK STREET,1,0,0,0,0,West Cambridge
01/26/2016 01:13:00 AM,,,,WASHINTON ST,0,0,0,0,0,
01/26/2016 12:10:00 PM,,,17,NORRIS ST,1,0,0,0,0,North Cambridge
01/26/2016 10:28:00 PM,,,37,BISHOP ALLEN DRIVE,2,0,0,0,0,The Port
01/27/2016 06:27:00 AM,,,47,ERIE ST,2,0,0,0,0,Cambridgeport
01/27/2016 08:34:00 AM,,,,LINE STREET,1,0,1,0,0,
01/27/2016 12:00:00 PM,,,20,PRENTISS ST,0,0,0,0,0,Agassiz
01/27/2016 01:55:00 PM,BROOKLINE STREET,FRANKLIN STREET,,,2,0,0,0,0,
01/27/2016 08:09:00 PM,,,1550,CAMBRIDGE ST,1,0,0,0,0,Mid-Cambridge
01/27/2016 08:30:00 PM,,,1575,CAMBRIDGE STREET,1,0,0,0,0,Mid-Cambridge
01/28/2016 10:00:00 AM,HAMPSHIRE ST,WINDSOR ST,,,2,0,0,0,0,
01/28/2016 06:20:00 PM,ELLERY,BROADWAY,,,2,0,0,0,0,
01/28/2016 10:57:00 PM,,,,BANKS ST/FLAGG ST,1,0,0,0,0,
01/29/2016 03:32:00 AM,NORTH POINT BLVD,NORTH ST,,,0,0,0,0,0,
01/29/2016 09:50:00 AM,,,251,WINDSOR ST,2,0,0,0,0,The Port
01/29/2016 12:10:00 PM,,,1281,CAMBRIDGE ST,2,1,0,0,1,Wellington-Harrington
01/29/2016 04:23:00 PM,JFK STREET,MT. AUBURN STREET,,,2,0,0,0,0,
01/29/2016 05:41:00 PM,,,975,MASSACHUSETTS AVE,0,0,0,0,0,Mid-Cambridge
01/29/2016 07:32:00 PM,,,1616,MASSACHUSETTS AVE,3,0,0,0,0,Neighborhood Nine
01/30/2016 09:59:00 AM,,,24,HOMER AV,1,0,0,0,0,West Cambridge
01/31/2016 05:44:00 AM,,,,CAMBRIDGE STREET,1,0,0,0,0,
01/31/2016 10:15:00 AM,,,11,HEWS STREET,1,0,0,0,0,Riverside
01/31/2016 01:09:00 PM,MASS AVE,VASSAR STREET,,,1,1,0,0,0,
01/31/2016 10:23:00 PM,PROSPECT ST,HARVARD ST,,,0,0,1,0,1,
02/01/2016 10:00:00 AM,CAMBRIDGE ST,LAMBERT ST,,,1,1,0,0,1,
02/01/2016 12:03:00 PM,DANA ST.,HARVARD ST.,,,2,0,0,0,2,
02/01/2016 02:00:00 PM,,,,MASS AVE,2,0,0,0,0,
02/01/2016 07:23:00 PM,MASSACHUSETTS AVE,RINDGE AVE,,,2,0,0,0,0,
02/02/2016 08:30:00 AM,,,,FIRST ST,1,1,0,0,0,
02/02/2016 10:21:00 AM,,,,GARDEN STREET,0,0,0,0,0,
02/03/2016 12:00:00 PM,,,,PALERMO ST,0,0,0,0,0,
02/03/2016 09:46:00 PM,,,25,RICHARD AVE,2,0,0,0,0,North Cambridge
02/04/2016 10:05:00 AM,,,55,FRANKLIN ST,0,0,0,0,0,Cambridgeport
02/04/2016 03:35:00 PM,CEDAR ST,HARVEY ST,,,2,0,0,0,0,
02/04/2016 05:15:00 PM,,,150,CAMBRIDGE PARK DR,1,0,1,0,0,North Cambridge
02/04/2016 05:34:00 PM,,,1697,CAMBRIDGE STREET,1,0,0,0,0,Mid-Cambridge
02/05/2016 10:41:00 AM,,,23,INMAN STREET,0,0,0,0,0,Mid-Cambridge
02/05/2016 10:49:00 AM,BROOKLINE ST,PUTNAM AVE,,,2,0,0,0,0,
02/05/2016 12:15:00 PM,,,,CAMBRIDGE ST,1,0,0,0,0,
02/05/2016 01:20:00 PM,,,87,CAMBRIDGE PK DR,2,0,0,0,0,North Cambridge
02/05/2016 02:01:00 PM,MASSACHUSETTS AVE,AMHERST ST,,,2,0,0,0,0,
02/05/2016 02:30:00 PM,MASS AVE,STATE ST,,,2,0,0,0,0,
02/05/2016 03:44:00 PM,,,173,CAMBRIDGE ST,0,0,0,0,0,East Cambridge
02/06/2016 12:08:00 PM,,,99,HAZEL ST,0,0,0,0,0,Neighborhood Nine
02/06/2016 02:31:00 PM,,,164,ALLSTON ST,0,0,0,0,0,Cambridgeport
02/06/2016 02:35:00 PM,MASSACHUSETTS AVE,CAMERON AVE,,,2,0,0,0,0,
02/06/2016 02:46:00 PM,THRID STREE,GORE STREET,,,2,0,0,0,2,
02/07/2016 03:00:00 AM,,,205,NORFOLK ST,1,0,0,0,0,The Port
02/07/2016 10:03:00 AM,,,76,CHILTON STREET,0,0,0,0,0,West Cambridge
02/07/2016 03:24:00 PM,,,208,PEARL ST,0,0,0,0,0,Cambridgeport
02/08/2016 12:21:00 PM,,,4,BLANCHARD ROAD,1,0,0,0,0,Cambridge Highlands
02/08/2016 05:24:00 PM,,,44,ORCHARD STREET,1,0,0,0,0,North Cambridge
02/08/2016 10:18:00 PM,,,,BEACON STREET,2,0,0,0,0,
02/09/2016 08:57:00 AM,MT. AUBURN ST.,LOWELL ST.,,,2,0,0,0,0,
02/09/2016 09:40:00 AM,,,,LOCUST ST,0,0,0,0,0,
02/09/2016 09:10:00 PM,CONCORD AVE,HURON AVE,,,2,0,0,0,0,
02/10/2016 07:54:00 AM,,,,THIRD ST,2,0,0,0,0,
02/10/2016 10:29:00 AM,JACKSON STREET,RINDGE AVE.,,,0,0,0,0,0,
02/10/2016 11:45:00 AM,,,,INMAN ST,1,1,0,0,1,
02/10/2016 11:31:00 PM,,,40,BRISTOL STREET,1,0,0,0,0,Wellington-Harrington
02/11/2016 12:16:00 AM,DANA ST.,BROADWAY,,,2,0,0,0,0,
02/11/2016 08:15:00 AM,,,,LOCUST ST,1,0,0,0,0,
02/12/2016 09:00:00 AM,BRATTLE ST,SPARKS ST,,,2,0,0,0,0,
02/12/2016 11:25:00 AM,,,407,CARDINAL MEDEIROS AVE,1,0,0,0,1,Wellington-Harrington
02/12/2016 01:08:00 PM,RIVER STREET,BLACKSTONE STREET,,,1,0,0,0,0,
02/12/2016 02:35:00 PM,,,100,CONCORD AVE,2,0,0,0,0,West Cambridge
02/12/2016 02:45:00 PM,,,,GARDEN ST,2,0,0,0,0,
02/12/2016 03:15:00 PM,,,35,WHITE ST,3,0,0,0,0,North Cambridge
02/12/2016 05:57:00 PM,,,132,CUSHING STREETHAGGERTY,1,0,0,0,0,Strawberry Hill
02/12/2016 06:53:00 PM,MASSACHUSETTS AVE,LINNAEAN ST,,,3,0,0,0,0,
02/12/2016 10:55:00 PM,,,1,PORTERSQ.,1,0,0,0,0,North Cambridge
02/14/2016 09:15:00 AM,SIDNEY ST,FRANKLIN ST,,,2,0,0,0,0,
02/14/2016 12:51:00 PM,MAGAZINE ST,COTTAGE ST,,,2,0,0,0,0,
02/14/2016 04:52:00 PM,MASSACHUSETTS AVE,SOMERVILLE AVE,,,2,0,0,0,0,
02/14/2016 10:15:00 PM,,,300,MOUNT AUBURN STREET,1,0,0,0,0,West Cambridge
02/16/2016 12:00:00 PM,,,11,CORCORAN LANE,0,0,0,0,0,Strawberry Hill
02/16/2016 06:19:00 PM,CAMBRIDGE ST,HARDING ST,,,1,1,0,0,1,
02/16/2016 07:10:00 PM,PLEASANT STREET,,,,0,0,0,0,0,
